Name,Weight,Category
田福堂,629,1
孙玉亭,569,2
田福军,493,1
孙少平,473,2
田晓霞,469,1
孙少安,465,2
孙玉厚,277,2
金俊武,275,3
金波,217,3
郝红梅,209,4
兰香,193,4
金俊山,161,3
徐治功,158,4
王满银,156,4
顾养民,145,4
兰花,129,4
张有智,125,4
金光亮,114,3
李登云,112,4
冯世宽,109,4
苗凯,103,4
田润叶,100,1
刘玉升,91,4
徐国强,89,4
金俊文,86,3
金秀,81,3
乔伯年,73,4
田海民,72,1
白明川,68,4
叶姐,64,4
武惠良,64,4
安锁子,62,4
胡永合,61,4
丽丽,60,4
侯玉英,59,4
金强,59,3
惠英嫂,57,4
田二,55,1
刘根民,54,4
吴月琴,51,4
吴斌,50,4
吴仲平,48,4
贺凤英,46,4
贾冰,45,4
王彩娥,44,4
周文龙,44,4
爱云,43,4
王世才,43,4
金俊海,42,3
冯国斌,42,4
秀莲,40,4
